symbol,min_buy,max_buy,last_buy,mean_buy
DKK,613244.46,613340.89,613340.89,613298.0322222222
EUR,82208.33,82221.26,82221.26,82215.51333333334
GBP,68490.09,68500.86,68500.86,68496.07333333333
HKD,678743.94,678850.67,678850.67,678803.2344444445
HRK,402493.83,402557.12,402557.12,402528.9911111111
HUF,33642903.28,33648193.5,33648193.5,33645842.29111111
INR,7363519.93,7364677.82,7364677.82,7364163.202222222
ISK,11407668.0,11409461.81,11409461.81,11408664.561111111
JPY,13519469.79,13521595.68,13521595.68,13520650.84
KRW,122239394.84,122258616.55,122258616.55,122250073.56777777
NGN,146293095.67,146316099.75,146316099.75,146305875.71444443
NZD,147271.0,147294.16,147294.16,147283.86666666667
PLN,357219.11,357275.28,357275.28,357250.3155555555
RON,319894.22,319944.52,319944.52,319922.16444444447
RUB,8599361.91,8600714.13,8600714.13,8600113.143333334
SEK,951412.53,951562.14,951562.14,951495.6466666667
SGD,116721.74,116740.1,116740.1,116731.94
THB,3026994.42,3027470.4,3027470.4,3027258.8533333335
TRY,2998050.28,2998521.71,2998521.71,2998312.1855555554
TWD,2830285.24,2830730.29,2830730.29,2830532.49
USD,87258.42,87272.14,87272.14,87266.04222222223
ARS,87062903.8,87076594.14,87076594.14,87071118.004
AUD,133748.65,133769.68,133769.68,133761.26799999998
BRL,501561.28,501640.15,501640.15,501608.6020000001
CAD,121814.06,121833.21,121833.21,121825.55
CHF,77078.06,77090.18,77090.18,77085.332
CLP,85944303.27,85957817.72,85957817.72,85952411.94
CNY,629124.45,629223.37,629223.37,629183.8019999999
CZK,2082121.03,2082448.44,2082448.44,2082317.4759999998
DKK,613244.46,613340.89,613340.89,613302.318
EUR,82208.33,82221.26,82221.26,82216.088
GBP,68490.09,68500.86,68500.86,68496.552
HKD,678743.94,678850.67,678850.67,678807.978
HRK,402493.83,402557.12,402557.12,402531.804
HUF,33642903.28,33648193.5,33648193.5,33646077.412
INR,7363519.93,7364677.82,7364677.82,7364214.664
ISK,11407668.0,11409461.81,11409461.81,11408744.286
JPY,13519469.79,13521595.68,13521595.68,13520745.324000001
KRW,122239394.84,122258616.55,122258616.55,122250927.86600001
NGN,146293095.67,146316099.75,146316099.75,146306898.11799997
NZD,147271.0,147294.16,147294.16,147284.896
PLN,357219.11,357275.28,357275.28,357252.81200000003
RON,319894.22,319944.52,319944.52,319924.4
RUB,8599361.91,8600714.13,8600714.13,8600173.242
SEK,951412.53,951562.14,951562.14,951502.2960000001
SGD,116721.74,116740.1,116740.1,116732.75600000001
THB,3026994.42,3027470.4,3027470.4,3027280.008
TRY,2998050.28,2998521.71,2998521.71,2998333.138
TWD,2830285.24,2830730.29,2830730.29,2830552.2700000005
USD,87258.42,87272.14,87272.14,87266.652
ARS,87062903.8,87082470.53,87082470.53,87072150.05181818
AUD,133748.65,133778.71,133778.71,133762.85363636364
BRL,501561.28,501674.0,501674.0,501614.5472727273
CAD,121814.06,121841.43,121841.43,121826.99363636364
CHF,77078.06,77095.39,77095.39,77086.24636363635
CLP,85944303.27,85963618.61,85963618.61,85953430.72818182
CNY,629124.45,629265.84,629265.84,629191.2599999999
CZK,2082121.03,2082588.97,2082588.97,2082342.1572727272
DKK,613244.46,613382.28,613382.28,613309.5872727273
EUR,82208.33,82226.81,82226.81,82217.06272727273
GBP,68490.09,68505.48,68505.48,68497.36363636363
HKD,678743.94,678896.49,678896.49,678816.0245454545
HRK,402493.83,402584.29,402584.29,402536.57545454544
HUF,33642903.28,33650464.27,33650464.27,33646476.21727273
INR,7363519.93,7365174.83,7365174.83,7364301.951818182
ISK,11407668.0,11410231.78,11410231.78,11408879.512727274
JPY,13519469.79,13522508.19,13522508.19,13520905.584545456
KRW,122239394.84,122266867.22,122266867.22,122252376.89818183
NGN,146293095.67,146325973.95,146325973.95,146308632.28454545
NZD,147271.0,147304.1,147304.1,147286.64181818182
PLN,357219.11,357299.39,357299.39,357257.0463636364
RON,319894.22,319966.11,319966.11,319928.19181818183
RUB,8599361.91,8601294.55,8601294.55,8600275.17909091
SEK,951412.53,951626.35,951626.35,951513.5736363637
